jaar	plot	bostype	plotnr	nh4_n	no3_n	nanorg	norg	norg.anorg	opmerkingen
2011	Ravels	naald	14	15.92043943	8.494822332	24.4578249	8.798503018	33.21376478	
2012	Ravels	naald	14	16.29371015	7.845287514	24.21259958	9.296547799	33.43554546	
2013	Ravels	naald	14	15.57707462	8.190403921	23.81099396	9.080736548	32.84821509	
2014	Ravels	naald	14	14.11903056	6.95058912	21.09364219	6.084928663	27.15454834	
2015	Ravels	naald	14	15.13000104	7.638969469	22.79346267	5.31528464	28.08425515	
2016	Ravels	naald	14	18.04399278	9.120401262	27.21832205	5.942325691	33.10671974	
2017	Ravels	naald	14	17.92398041	8.918766015	27.00616578	6.264544284	33.10729071	
2018	Ravels	naald	14	16.39996792	7.881327633	24.7385243	4.324834896	28.60613045	
jaar	plot	bostype	plotnr	nh4_n	no3_n	nanorg	norg	norg.anorg	opmerkingen
1992	Gontrode	loof	16	33.81174877	11.2636446	45.07539338	NA	NA	stamafvloei werd nog niet gemeten
1993	Gontrode	loof	16	23.49774243	10.15753675	33.65527918	NA	NA	stamafvloei werd nog niet gemeten
1994	Gontrode	loof	16	23.82047126	12.14269998	35.96317124	NA	NA	
1995	Gontrode	loof	16	22.07555674	8.516610824	30.59216756	NA	NA	
1996	Gontrode	loof	16	18.30692275	6.011077281	24.31800003	NA	NA	
1997	Gontrode	loof	16	17.77959259	6.900467748	24.68006033	NA	NA	
1998	Gontrode	loof	16	18.82583543	7.622015379	26.44785081	NA	NA	
1999	Gontrode	loof	16	16.00894188	7.196332458	23.20527434	NA	NA	
2000	Gontrode	loof	16	19.46288787	8.553945587	28.01683346	NA	NA	
2001	Gontrode	loof	16	17.33434533	7.749153227	25.08349856	NA	NA	
2002	Gontrode	loof	16	18.81091878	7.308447641	26.11936642	NA	NA	
2003	Gontrode	loof	16	12.51170395	6.809153444	19.49563599	NA	NA	
2004	Gontrode	loof	16	15.16777008	6.868060998	22.09677901	NA	NA	
2005	Gontrode	loof	16	17.45262199	8.419168935	25.87179093	3.678882685	29.55067361	
2006	Gontrode	loof	16	15.39057383	6.812583916	22.62556314	6.862755861	29.0659136	
2007	Gontrode	loof	16	12.08575769	6.68007089	18.86659716	4.748918584	23.51474717	
2008	Gontrode	loof	16	9.094962871	5.386605834	14.7619775	6.17823161	20.65980032	
2009	Gontrode	loof	16	10.25476015	6.122379909	17.01088512	7.026728503	23.40386856	
2010	Gontrode	loof	16	11.47616004	6.795716972	18.63076924	7.042199409	25.31407642	
2011	Gontrode	loof	16	8.600279717	6.428005935	15.23150066	7.835457291	22.86374294	
2012	Gontrode	loof	16	8.061443799	6.30759425	14.56050424	9.024166699	23.39320475	
2013	Gontrode	loof	16	10.49361035	7.037232787	18.15692578	7.281417917	24.81226105	
2014	Gontrode	loof	16	8.662159785	6.860368015	15.61243539	6.05763668	21.58016448	
2015	Gontrode	loof	16	8.097196274	5.189572676	13.54716058	6.181666461	19.46843541	
2016	Gontrode	loof	16	12.22210754	7.665998921	19.95159888	5.699060796	25.58716726	
2017	Gontrode	loof	16	7.663358892	6.890939586	14.76660593	5.359213069	19.91351155	
2018	Gontrode	loof	16	9.140523027	4.780493366	14.55108617	6.501625448	20.42264184	
1992	Hoeilaart	loof	21	16.65052858	9.121556513	25.7720851	NA	NA	stamafvloei werd nog niet gemeten
1993	Hoeilaart	loof	21	14.16521131	9.317580344	23.48279165	NA	NA	stamafvloei werd nog niet gemeten
1994	Hoeilaart	loof	21	15.5342265	9.742351891	25.27657839	NA	NA	
1995	Hoeilaart	loof	21	11.78188408	7.861061406	19.64294549	NA	NA	
1996	Hoeilaart	loof	21	15.31352619	7.820868212	23.1343944	NA	NA	
1997	Hoeilaart	loof	21	13.31340076	7.188448006	20.50184877	NA	NA	
1998	Hoeilaart	loof	21	16.32114377	7.469282962	23.79042673	NA	NA	
1999	Hoeilaart	loof	21	12.41737593	7.095955456	19.51333139	NA	NA	
2000	Hoeilaart	loof	21	16.71789693	8.052554564	24.77045149	NA	NA	
2001	Hoeilaart	loof	21	12.85013611	8.77928981	21.62942592	NA	NA	
2002	Hoeilaart	loof	21	11.76489215	8.39958669	20.16447884	NA	NA	
2003	Hoeilaart	loof	21	11.73454184	8.150202129	19.88474396	NA	NA	
2004	Hoeilaart	loof	21	8.991919459	6.649861239	15.70700425	NA	NA	
2005	Hoeilaart	loof	21	8.076599722	6.331964588	14.40856431	2.618340406	17.02690472	
2006	Hoeilaart	loof	21	8.593825772	5.578018741	14.25434831	4.457392328	18.62923684	
2007	Hoeilaart	loof	21	7.150296851	5.861142571	13.21611287	3.595792382	16.6072318	
2008	Hoeilaart	loof	21	7.201586031	6.803875374	14.09617865	6.008646459	20.01410786	
2009	Hoeilaart	loof	21	6.713837594	5.291975438	12.29850102	7.609938309	19.61575134	
2010	Hoeilaart	loof	21	7.40597603	6.277333207	13.79889029	5.336534998	19.01984424	
2011	Hoeilaart	loof	21	6.726067246	4.773842294	11.58558891	7.544160346	19.04406989	
2012	Hoeilaart	loof	21	7.274397521	6.811955147	14.14156983	8.310337283	22.39668995	
2013	Hoeilaart	loof	21	7.412324508	5.977704493	13.47024284	8.444439403	21.8344684	
2014	Hoeilaart	loof	21	5.622281469	4.714960528	10.41757848	6.917956972	17.25519897	
2015	Hoeilaart	loof	21	5.080424511	5.358101021	10.54627715	5.508945127	15.94747066	
2016	Hoeilaart	loof	21	8.501831343	7.39878947	15.92305	7.122889121	23.02350993	
2017	Hoeilaart	loof	21	5.587397573	6.359335637	11.98854781	5.380384086	17.3271173	
2018	Hoeilaart	loof	21	5.646696145	4.870516651	10.62855091	4.229133247	14.74634604	
1992	Wijnendale	loof	11	20.76839668	7.873402003	28.64179869	NA	NA	stamafvloei werd nog niet gemeten
1993	Wijnendale	loof	11	22.00716179	8.494853018	30.50201481	NA	NA	stamafvloei werd nog niet gemeten
1994	Wijnendale	loof	11	31.84177893	13.1591614	45.00094033	NA	NA	
1995	Wijnendale	loof	11	24.26641029	9.574792354	33.84120265	NA	NA	
1996	Wijnendale	loof	11	21.01759183	5.57531073	26.59290256	NA	NA	
1997	Wijnendale	loof	11	26.15718473	6.103629106	32.26081384	NA	NA	
1998	Wijnendale	loof	11	30.8936475	7.088880465	37.98252796	NA	NA	
1999	Wijnendale	loof	11	21.01867264	8.358824405	29.37749704	NA	NA	
2000	Wijnendale	loof	11	23.16519467	7.187174643	30.35236931	NA	NA	
2001	Wijnendale	loof	11	19.76414718	7.602387468	27.36653465	NA	NA	
2002	Wijnendale	loof	11	15.88002431	7.188745538	23.06876985	NA	NA	
2003	Wijnendale	loof	11	15.0381612	5.837817833	20.91721143	NA	NA	
2004	Wijnendale	loof	11	16.21876516	5.680935181	22.11246275	NA	NA	
2005	Wijnendale	loof	11	18.01215272	7.839206535	25.85135925	3.56255522	29.41391447	
2006	Wijnendale	loof	11	13.79964215	6.146895453	20.07061061	5.635694324	25.58223192	
2007	Wijnendale	loof	11	13.16275865	6.561419809	20.00402016	5.722151805	25.44633026	
2008	Wijnendale	loof	11	11.34399867	6.255534456	17.72789355	6.364921775	23.9644549	
2009	Wijnendale	loof	11	12.81726419	6.333097684	19.20796886	5.664026612	24.81438848	
2010	Wijnendale	loof	11	12.1947445	7.056381779	19.46349468	5.820803995	25.07193028	
2011	Wijnendale	loof	11	9.757955858	7.047438557	17.29830911	6.466842089	23.27223651	
2012	Wijnendale	loof	11	10.41291816	7.965370395	18.39744559	6.556800957	24.93508951	
2013	Wijnendale	loof	11	11.0640879	6.881415052	18.10647374	7.09589878	25.04140173	
2014	Wijnendale	loof	11	11.87037894	7.379552915	19.27339634	5.789306766	25.03923862	
2015	Wijnendale	loof	11	9.409121296	6.475111486	16.16147435	4.538849286	20.42308207	
2016	Wijnendale	loof	11	12.38742731	7.728746093	20.17082076	4.838069558	24.95424296	
2017	Wijnendale	loof	11	10.40415303	7.562833758	18.06476549	4.938838259	22.90582505	
2018	Wijnendale	loof	11	9.013110773	6.231225753	15.4014787	5.969031489	21.21336801	
1992	Brasschaat	naald	15	31.12568405	12.1062889	43.23197295	NA	NA	
1993	Brasschaat	naald	15	29.34326943	15.57362158	44.91689101	NA	NA	
1994	Brasschaat	naald	15	28.72026885	14.7053766	43.42564546	NA	NA	
1995	Brasschaat	naald	15	24.62460837	9.875370405	34.49997878	NA	NA	
1996	Brasschaat	naald	15	22.44244787	8.525360727	30.96780859	NA	NA	
1997	Brasschaat	naald	15	29.55208446	8.42795816	37.98004262	NA	NA	
1998	Brasschaat	naald	15	26.53183305	10.60728436	37.1391174	NA	NA	
1999	Brasschaat	naald	15	22.0553174	9.15949699	31.21481439	NA	NA	
2000	Brasschaat	naald	15	24.26395634	10.40731533	34.67127167	NA	NA	
2001	Brasschaat	naald	15	23.65819129	10.43782637	34.09601765	NA	NA	
2002	Brasschaat	naald	15	21.0354505	10.4666066	31.50205711	NA	NA	
2003	Brasschaat	naald	15	19.17801142	9.375507992	28.75525397	NA	NA	
2004	Brasschaat	naald	15	22.5620416	10.31976099	32.88180259	NA	NA	
2005	Brasschaat	naald	15	21.58339775	10.30563045	32.04702196	4.892770496	36.7817987	
2006	Brasschaat	naald	15	19.83298901	9.116268981	28.94925799	8.553320278	37.50257827	
2007	Brasschaat	naald	15	16.59120734	9.106927677	25.93719244	5.980032373	31.67816739	
2008	Brasschaat	naald	15	19.10282496	9.753227789	28.87128791	8.04507633	36.90112908	
2009	Brasschaat	naald	15	17.85346764	9.002968597	26.86868234	7.56161862	34.41805486	
2010	Brasschaat	naald	15	15.59178525	9.160539054	24.7822549	6.315976503	31.0683008	
2011	Brasschaat	naald	15	15.89237063	9.010510986	25.05837388	8.224237379	33.127119	
2012	Brasschaat	naald	15	13.16458325	8.845802331	22.04945069	8.448201921	30.45858751	
2013	Brasschaat	naald	15	14.16616351	8.979478964	23.18362418	5.550027399	28.69566987	
2014	Brasschaat	naald	15	12.39904354	7.373864295	19.78320081	5.208307179	24.98121501	
2015	Brasschaat	naald	15	13.39551509	7.851739612	21.2472547	5.509476767	26.75673147	
2016	Brasschaat	naald	15	12.76956152	8.26920741	21.0613147	5.832732507	26.87150144	
2017	Brasschaat	naald	15	15.16251325	8.687108573	24.03019455	5.867588383	29.7172102	
2018	Brasschaat	naald	15	14.46885214	8.302935225	22.88812294	3.837820523	26.60960789	
1992	Ravels	naald	14	36.61159788	12.56818515	49.17978303	NA	NA	
1993	Ravels	naald	14	55.66909088	21.16668004	76.83577092	NA	NA	
1994	Ravels	naald	14	45.82310752	13.75655624	59.57966376	NA	NA	
1995	Ravels	naald	14	28.96022685	8.662367156	37.62259401	NA	NA	
1996	Ravels	naald	14	25.3437534	7.283485619	32.62723902	NA	NA	
1997	Ravels	naald	14	30.88293957	7.372347024	38.25528659	NA	NA	
1998	Ravels	naald	14	34.46645101	10.04913607	44.51558708	NA	NA	
1999	Ravels	naald	14	29.70338437	7.896772481	37.60015685	NA	NA	
2000	Ravels	naald	14	26.01216717	8.610913772	34.62308094	NA	NA	
2001	Ravels	naald	14	28.70086764	9.671274966	38.37214261	NA	NA	
2002	Ravels	naald	14	22.59459104	8.641284556	31.23587559	NA	NA	
2003	Ravels	naald	14	22.51854847	8.998828914	31.51737739	NA	NA	
2004	Ravels	naald	14	25.0093909	10.56496838	35.57435928	NA	NA	
2005	Ravels	naald	14	25.987112	9.188336821	35.17544882	3.709415211	38.88486403	
2006	Ravels	naald	14	23.12904116	8.748383396	31.99894273	9.593460195	41.47088475	
2007	Ravels	naald	14	23.90328844	8.20800783	32.1882313	8.320661283	40.43195755	
2008	Ravels	naald	14	22.92686848	9.559184204	32.56540173	8.999269076	41.48532176	
2009	Ravels	naald	14	19.82757223	8.346437562	28.22248256	8.048856695	36.22286649	
2010	Ravels	naald	14	17.32826198	7.968052668	25.37032976	8.130685267	33.42699992	
2011	Ravels	naald	14	15.92043943	8.494822332	24.4578249	8.798503018	33.21376478	
2012	Ravels	naald	14	16.29371015	7.845287514	24.21259958	9.296547799	33.43554546	
2013	Ravels	naald	14	15.57707462	8.190403921	23.81099396	9.080736548	32.84821509	
2014	Ravels	naald	14	14.11903056	6.95058912	21.09364219	6.084928663	27.15454834	
2015	Ravels	naald	14	15.13000104	7.638969469	22.79346267	5.31528464	28.08425515	
2016	Ravels	naald	14	18.04399278	9.120401262	27.21832205	5.942325691	33.10671974	
2017	Ravels	naald	14	17.92398041	8.918766015	27.00616578	6.264544284	33.10729071	
2018	Ravels	naald	14	16.39996792	7.881327633	24.7385243	4.324834896	28.60613045	
